DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development
1990-0009-PHL,Ground movement,,PHL,6.6,1990/2/8,1,4,,34500,34504,0
1990-0017-IDN,Ground movement,,IDN,7.8,1990/4/18,5,36,,7000,7036,0
1990-0020-BGR,Ground movement,,BGR,7,1990/5/30,1,,,,,0
1990-0020-ROU,Ground movement,,ROU,7,1990/5/30,9,700,,,700,0
1990-0020-SUN,Ground movement,,SUN,7,1990/5/30,4,,,,,
1990-0028-PHL,Ground movement,,PHL,7.1,1990/6/14,4,15,,,15,0
1990-0029-PER,Ground movement,,PER,6.6,1990/5/29,200,800,30000,70000,100800,0
1990-0031-SUN,Ground movement,,SUN,6.8,1990/6/14,1,,20000,,20000,
1990-0033-SDN,Ground movement,,SDN,6.8,1990/5/20,,,,8000,8000,0
1990-0033-UGA,Ground movement,,UGA,,1990/5/20,,,,,,0
1990-0034-IRN,Ground movement,,IRN,7.3,1990/6/21,40000,105000,105000,500000,710000,0
1990-0040-PHL,Ground movement,,PHL,7.7,1990/7/16,2412,3513,,1594040,1597553,0
1990-0093-CHN,Ground movement,,CHN,6.2,1990/10/20,1,16,,30000,30016,0
1990-0099-CHN,Ground movement,,CHN,6.9,1990/4/26,126,2049,7696,24574,34319,0
1990-0105-ITA,Ground movement,,ITA,5.4,1990/5/6,2,16,,,16,0
1990-0118-IRN,Ground movement,,IRN,6.6,1990/11/6,21,90,1310,21000,22400,0
1990-0165-PAK,Ground movement,,PAK,6.6,1990/10/22,11,250,,,250,0
1990-0169-GRC,Ground movement,,GRC,5.5,1990/12/21,1,60,,,60,0
1990-0170-CRI,Ground movement,,CRI,5.8,1990/12/22,1,299,14000,,14299,0
1990-0186-VUT,Ground movement,,VUT,6.7,1990/2/19,,,,,,0
1990-0187-USA,Ground movement,,USA,5.5,1990/2/28,,30,,,30,1
1990-0188-FJI,Ground movement,,FJI,7.4,1990/3/3,,,,,,0
1990-0189-PAK,Ground movement,,PAK,6.1,1990/3/4,11,40,,,40,0
1990-0190-VUT,Ground movement,,VUT,7,1990/3/5,,,,,,0
1990-0191-CRI,Ground movement,,CRI,6.8,1990/3/25,,10,,300,310,0
1990-0193-GBR,Ground movement,,GBR,4.7,1990/4/2,,,,,,1
1990-0194-NIC,Ground movement,,NIC,6.4,1990/4/3,,,,,,0
1990-0202-KEN,Ground movement,,KEN,7.2,1990/5/24,,,,,,0
1990-0203-UGA,Ground movement,,UGA,6.8,1990/5/24,,,,,,0
1990-0214-PNG,Ground movement,,PNG,,1990/6/7,,,,,,0
1990-0217-GRC,Ground movement,,GRC,5.1,1990/6/16,,1,,,1,0
1990-0221-FJI,Ground movement,,FJI,6.3,1990/6/23,,,,,,0
1990-0227-VUT,Ground movement,,VUT,6.8,1990/7/27,,2,,,2,0
1990-0228-SUN,Ground movement,,SUN,6.1,1990/8/3,,8,1500,,1508,
1990-0230-ECU,Ground movement,,ECU,5,1990/8/11,4,10,,6500,6510,0
1990-0250-ITA,Ground movement,,ITA,4.7,1990/12/13,19,200,2500,,2700,0
1990-0593-IDN,Ground movement,,IDN,6,1990/11/15,1,32,,2140,2172,0
1990-0601-SUN,Ground movement,,SUN,5,1990/12/1,,,3000,,3000,
1990-0702-IDN,Ground movement,,IDN,5.8,1990/7/6,,103,,,103,0
1990-0703-USA,Ground movement,,USA,4.3,1990/3/30,,,,120,120,1
1990-0704-ZAF,Ground movement,,ZAF,4,1990/10/18,10,6,,,6,0
1991-0001-MMR,Ground movement,,MMR,7.2,1991/1/5,,,,160,160,0
1991-0033-AFG,Ground movement,,AFG,6.4,1991/1/31,130,,,7000,7000,0
1991-0033-PAK,Ground movement,,PAK,6.4,1991/1/31,300,574,29465,174755,204794,0
1991-0033-SUN,Ground movement,,SUN,6.8,1991/1/31,3,,,,,
1991-0043-CHN,Ground movement,,CHN,6.5,1991/2/25,,3,600,42205,42808,0
1991-0055-SUN,Ground movement,,SUN,6.8,1991/3/8,,,,,,
1991-0066-PER,Ground movement,,PER,6.9,1991/4/4,53,750,,45000,45750,0
1991-0088-CHN,Ground movement,,CHN,5.8,1991/3/26,1,542,,240000,240542,0
1991-0114-CRI,Ground movement,,CRI,6.3,1991/4/22,47,199,3900,6320,10419,0
1991-0114-PAN,Ground movement,,PAN,7.2,1991/4/22,30,560,7000,10500,18060,0
1991-0117-SUN,Ground movement,,SUN,6.9,1991/4/29,270,1500,160000,90000,251500,
1991-0122-GEO,Ground movement,,GEO,6.3,1991/6/15,8,200,1350,2190,3740,0
1991-0124-IDN,Ground movement,,IDN,6.9,1991/6/20,,,,1000,1000,0
1991-0165-IDN,Ground movement,,IDN,6.7,1991/7/4,28,191,1000,15000,16191,0
1991-0173-PER,Ground movement,,PER,5,1991/7/24,11,35,,1500,1535,0
1991-0192-USA,Ground movement,,USA,5.8,1991/6/28,2,100,,,100,1
1991-0230-GTM,Ground movement,,GTM,5.3,1991/9/18,14,90,,23800,23890,0
1991-0232-IRQ,Ground movement,,IRQ,5.6,1991/7/27,20,,500,,500,0
1991-0284-IRN,Ground movement,,IRN,5.4,1991/11/4,,51,,1450,1501,0
1991-0293-CRI,Ground movement,,CRI,4.9,1991/8/9,,,,150,150,0
1991-0368-IND,Ground movement,,IND,6.1,1991/10/20,1500,1383,,53000,54383,0
1991-0390-COL,Ground movement,,COL,6.8,1991/11/19,2,2,295,570,867,0
1991-0399-ROU,Ground movement,,ROU,5.7,1991/12/2,,5,4000,,4005,0
1991-0498-AFG,Ground movement,,AFG,5.4,1991/4/18,24,,,,,0
1991-0498-SUN,Ground movement,,SUN,5.4,1991/4/18,1,,,5000,5000,
1991-0682-YEM,Ground movement,,YEM,4.4,1991/11/22,10,39,40000,,40039,0
1991-0773-CRI,Ground movement,,CRI,5.6,1991/5/4,,,,,,0
1991-0773-PAN,Ground movement,,PAN,5.6,1991/5/4,,36,2000,,2036,0
1991-0774-ROU,Ground movement,,ROU,5.7,1991/7/18,,,,1845,1845,0
1992-0012-DZA,Ground movement,,DZA,5,1992/1/19,,,,2250,2250,0
1992-0022-TUR,Ground movement,,TUR,6.8,1992/3/13,653,3850,95000,250000,348850,0
1992-0058-PAK,Ground movement,,PAK,5.7,1992/8/28,4,,,200,200,0
1992-0064-COD,Ground movement,,COD,6.7,1992/9/11,9,61,250,,311,0
1992-0067-CUB,Ground movement,,CUB,7,1992/5/25,,40,,5829,5869,0
1992-0079-NIC,Ground movement,,NIC,7,1992/9/1,179,489,,5690,6179,0
1992-0081-KGZ,Ground movement,,KGZ,7.5,1992/8/19,54,100,32538,54168,86806,0
1992-0082-KGZ,Ground movement,,KGZ,7,1992/5/22,4,,,50000,50000,0
1992-0093-BEL,Ground movement,,BEL,5.5,1992/4/13,,,,,,1
1992-0093-DEU,Ground movement,,DEU,5.6,1992/4/13,1,25,,1500,1525,1
1992-0093-NLD,Ground movement,,NLD,5.5,1992/4/13,,20,,,20,1
1992-0120-USA,Ground movement,,USA,6.9,1992/4/25,,94,,,94,1
1992-0149-EGY,Ground movement,,EGY,5.9,1992/10/12,552,9929,25020,57700,92649,0
1992-0151-COL,Ground movement,,COL,6.6,1992/10/17,11,135,1500,,1635,0
1992-0163-IDN,Ground movement,,IDN,7.5,1992/12/12,2500,2103,90000,,92103,0
1992-0180-IRN,Ground movement,,IRN,4.9,1992/3/4,5,50,4000,,4050,0
1992-0202-AFG,Ground movement,,AFG,5.5,1992/5/20,14,,,,,0
1992-0202-PAK,Ground movement,,PAK,6,1992/5/20,36,100,2000,,2100,0
1992-0215-USA,Ground movement,,USA,7.4,1992/6/28,1,300,,,300,1
1992-0236-UZB,Ground movement,,UZB,5.6,1992/5/15,9,,,50000,50000,0
1992-0247-IDN,Ground movement,,IDN,5,1992/2/4,,1,7500,,7501,0
1992-0252-JPN,Ground movement,,JPN,5.9,1992/2/2,,32,,,32,1
1992-0256-CHN,Ground movement,,CHN,6.5,1992/7/31,,,,16000,16000,0
1992-0481-GEO,Ground movement,,GEO,6.7,1992/10/24,1,10,,,10,0
1992-0554-USA,Ground movement,,USA,6.2,1992/4/22,,32,,,32,1
1993-0035-IRN,Ground movement,,IRN,5.6,1993/6/22,24,49,,4000,4049,0
1993-0044-JPN,Tsunami,,JPN,7.8,1993/7/12,239,233,1620,5502,7355,1
1993-0049-GUM,Ground movement,,GUM,8.1,1993/8/9,,71,,,71,
1993-0056-SDN,Ground movement,,SDN,6.2,1993/8/1,3,15,,,15,0
1993-0074-IND,Ground movement,,IND,6.4,1993/9/29,9748,30000,,,30000,0
1993-0076-PNG,Ground movement,,PNG,7.2,1993/10/13,53,200,10000,10000,20200,0
1993-0086-MEX,Ground movement,,MEX,6.5,1993/10/24,,,,,,0
1993-0097-JPN,Ground movement,,JPN,7.5,1993/1/15,2,722,,9800,10522,1
1993-0108-CHN,Ground movement,,CHN,6.3,1993/1/27,,66,34860,107220,142146,0
1993-0134-WLF,Ground movement,,WLF,6.5,1993/3/13,5,20,,,20,
1993-0136-GRC,Ground movement,,GRC,5.2,1993/3/27,1,16,,1500,1516,0
1993-0144-PER,Ground movement,,PER,5.6,1993/4/18,6,25,,120,145,0
1993-0184-CRI,Ground movement,,CRI,4.4,1993/7/10,3,40,,200,240,0
1993-0480-USA,Ground movement,,USA,5.8,1993/9/21,2,,,3000,3000,1
1993-0490-COL,Ground movement,,COL,6.1,1993/7/22,2,60,,3011,3071,0
1993-0578-IRN,Ground movement,,IRN,5.1,1993/1/27,,3,1000,,1003,0
1993-0579-GRC,Ground movement,,GRC,5.3,1993/7/14,,5,,600,605,0
1993-0580-NPL,Ground movement,,NPL,5.1,1993/10/20,,55,,230,285,0
1993-0581-IND,Ground movement,,IND,4.6,1993/11/12,,25,,500,525,0
1993-0582-CHN,Ground movement,,CHN,5.2,1993/11/30,,4,500,,504,0
1994-0002-USA,Ground movement,,USA,6.6,1994/1/17,60,7000,20000,,27000,1
1994-0006-IDN,Ground movement,,IDN,6.8,1994/1/21,7,40,,200000,200040,0
1994-0007-IDN,Ground movement,,IDN,7.2,1994/2/16,207,1449,10330,37620,49399,0
1994-0040-IRN,Ground movement,,IRN,6.1,1994/2/23,9,,,1500,1500,0
1994-0041-IRN,Ground movement,,IRN,5.6,1994/3/1,3,31,,15010,15041,0
1994-0051-UGA,Ground movement,,UGA,6.2,1994/2/6,7,,,50000,50000,0
1994-0057-AFG,Ground movement,,AFG,6.3,1994/5/1,160,330,,100000,100330,0
1994-0058-BOL,Ground movement,,BOL,7.5,1994/6/9,5,,,,,0
1994-0059-COL,Ground movement,,COL,6.4,1994/6/6,271,158,24797,12461,37416,0
1994-0062-IDN,Ground movement,,IDN,7.2,1994/6/2,239,440,,8280,8720,0
1994-0070-IRN,Ground movement,,IRN,6,1994/6/20,2,100,,,100,0
1994-0076-VUT,Ground movement,,VUT,7.3,1994/8/13,,,,,,0
1994-0196-DZA,Ground movement,,DZA,5.6,1994/8/18,171,289,,12500,12789,0
1994-0307-CHN,Ground movement,,CHN,6.8,1994/9/15,1,500,,,500,0
