DisNo.,Depth,
2001-0099-USA,51.798,
2012-0536-CHN,10,
2012-0502-IRN,14.4,
2012-0407-GTM,24,
2012-0350-CHN,10,
2012-0321-PHL,10,
2012-0431-PHL,28,
2012-0398-IDN,10,
2012-0397-CHN,10,
2012-0338-CHN,18,
2012-0190-CHN,10,
2012-0164-AFG,16,
2012-0142-ITA,6.3,
2012-0545-AZE,18.1,
2012-0191-AZE,11,
2012-0126-CHL,40.7,
2012-0124-MEX,20,
2012-0604-CHN,38,
2012-0020-PER,43,
2012-0597-IRN,8.3,
2011-0512-MEX,59,
2011-0467-TUR,5,
2011-0445-PHL,45.9,
2011-0411-CHN,28,
2011-0443-PER,24,
2011-0373-GTM,9,
2011-0389-IDN,91,
2011-0601-CHN,10,
2011-0243-KGZ,20,
2011-0243-TJK,20,
2011-0243-UZB,20,
2011-0388-NZL,6.1,
2011-0387-CHN,21.1,
2011-0170-TUR,7,
2011-0159-ESP,1,
2011-0130-JPN,42,
2011-0079-CHN,10,
2011-0030-CHN,31.1,
2011-0104-PAK,68,
2010-0645-IRN,12,
2010-0591-IRN,5,
2010-0463-NZL,12,
2010-0673-CHN,35,
2010-0672-IRN,7,
2010-0361-IRN,19,
2010-0363-IRN,10,
2010-0238-IDN,18,
2010-0669-AFG,13,
2010-0093-TUR,12,
2010-0668-TWN,21,
2010-0087-CHN,10,
2010-0064-CHN,10,
2010-0667-CHN,26.6,
2010-0018-IRN,5,
2010-0027-USA,28.737,
2010-0003-SLB,10,
2009-0573-MWI,6,
2009-0479-IDN,18,
2009-0493-IRN,14.1,
2009-0406-BTN,14,
2009-0404-PHL,10,
2009-0366-ALB,3,
2009-0320-JPN,40.4,
2009-0156-AFG,5.9,
2009-0112-IDN,20,
2009-0059-CHN,19,
2009-0001-IDN,17,
2008-0588-CHN,35,
2008-0536-IDN,30,
2008-0476-RUS,16,
2008-0455-CHN,12,
2008-0401-IRN,12,
2008-0403-IDN,25.2,
2008-0355-CHN,10,
2008-0325-CHN,6,
2008-0226-GRC,16,
2008-0650-CHN,18,
2008-0649-COL,8.9,
2008-0178-IRN,16,
2007-0653-BRA,10,
2007-0433-COL,15,
2007-0485-IDN,35,
2007-0692-GBR,10,
2007-0158-CHL,36.7,
2007-0654-JPN,15.7,
2007-0127-SLB,24,
2006-0688-TWN,10,
