ISO,year,Development
PHL,1990,0
IDN,1990,0
BGR,1990,0
ROU,1990,0
SUN,1990,
PHL,1990,0
PER,1990,0
SUN,1990,
SDN,1990,0
UGA,1990,0
IRN,1990,0
PHL,1990,0
CHN,1990,0
CHN,1990,0
ITA,1990,0
IRN,1990,0
PAK,1990,0
GRC,1990,0
CRI,1990,0
VUT,1990,0
USA,1990,1
FJI,1990,0
PAK,1990,0
VUT,1990,0
CRI,1990,0
GBR,1990,1
NIC,1990,0
KEN,1990,0
UGA,1990,0
PNG,1990,0
GRC,1990,0
FJI,1990,0
VUT,1990,0
SUN,1990,
ECU,1990,0
ITA,1990,0
IDN,1990,0
SUN,1990,
IDN,1990,0
USA,1990,1
ZAF,1990,0
MMR,1991,0
AFG,1991,0
PAK,1991,0
SUN,1991,
CHN,1991,0
SUN,1991,
PER,1991,0
CHN,1991,0
CRI,1991,0
PAN,1991,0
SUN,1991,
GEO,1991,0
IDN,1991,0
IDN,1991,0
PER,1991,0
USA,1991,1
GTM,1991,0
IRQ,1991,0
IRN,1991,0
CRI,1991,0
IND,1991,0
COL,1991,0
ROU,1991,0
AFG,1991,0
SUN,1991,
YEM,1991,0
CRI,1991,0
PAN,1991,0
ROU,1991,0
DZA,1992,0
TUR,1992,0
PAK,1992,0
COD,1992,0
CUB,1992,0
NIC,1992,0
KGZ,1992,0
KGZ,1992,0
BEL,1992,1
DEU,1992,1
NLD,1992,1
USA,1992,1
EGY,1992,0
COL,1992,0
IDN,1992,0
IRN,1992,0
AFG,1992,0
PAK,1992,0
USA,1992,1
UZB,1992,0
IDN,1992,0
JPN,1992,1
CHN,1992,0
GEO,1992,0
USA,1992,1
IRN,1993,0
JPN,1993,1
GUM,1993,
SDN,1993,0
IND,1993,0
PNG,1993,0
MEX,1993,0
JPN,1993,1
CHN,1993,0
WLF,1993,
GRC,1993,0
PER,1993,0
CRI,1993,0
USA,1993,1
COL,1993,0
IRN,1993,0
GRC,1993,0
NPL,1993,0
IND,1993,0
CHN,1993,0
USA,1994,1
IDN,1994,0
IDN,1994,0
IRN,1994,0
IRN,1994,0
UGA,1994,0
AFG,1994,0
BOL,1994,0
COL,1994,0
IDN,1994,0
IRN,1994,0
VUT,1994,0
DZA,1994,0
CHN,1994,0
JPN,1994,1
RUS,1994,0
JPN,1994,1
IDN,1994,0
PHL,1994,0
USA,1994,1
CHN,1994,0
AUS,1994,1
IDN,1994,0
CHN,1994,0
PHL,1994,0
COL,1995,0
JPN,1995,1
COL,1995,0
CYP,1995,0
ECU,1995,0
COL,1995,0
PHL,1995,0
IDN,1995,0
GRC,1995,0
IDN,1995,0
RUS,1995,0
CHN,1995,0
MMR,1995,0
THA,1995,0
CHL,1995,0
MEX,1995,0
ECU,1995,0
TUR,1995,0
IDN,1995,0
MEX,1995,0
CHN,1995,0
EGY,1995,0
GRC,1995,0
JPN,1995,1
MEX,1995,0
CHN,1995,0
IDN,1996,0
AFG,1996,0
CHN,1996,0
PER,1996,0
IDN,1996,0
ECU,1996,0
CHN,1996,0
CHN,1996,0
GRC,1996,0
