ISO,year
PHL,1990
IDN,1990
BGR,1990
ROU,1990
SUN,1990
PHL,1990
PER,1990
SUN,1990
SDN,1990
UGA,1990
IRN,1990
PHL,1990
CHN,1990
CHN,1990
ITA,1990
IRN,1990
PAK,1990
GRC,1990
CRI,1990
VUT,1990
USA,1990
FJI,1990
PAK,1990
VUT,1990
CRI,1990
GBR,1990
NIC,1990
KEN,1990
UGA,1990
PNG,1990
GRC,1990
FJI,1990
VUT,1990
SUN,1990
ECU,1990
ITA,1990
IDN,1990
SUN,1990
IDN,1990
USA,1990
ZAF,1990
MMR,1991
AFG,1991
PAK,1991
SUN,1991
CHN,1991
SUN,1991
PER,1991
CHN,1991
CRI,1991
PAN,1991
SUN,1991
GEO,1991
IDN,1991
IDN,1991
PER,1991
USA,1991
GTM,1991
IRQ,1991
IRN,1991
CRI,1991
IND,1991
COL,1991
ROU,1991
AFG,1991
SUN,1991
YEM,1991
CRI,1991
PAN,1991
ROU,1991
DZA,1992
TUR,1992
PAK,1992
COD,1992
CUB,1992
NIC,1992
KGZ,1992
KGZ,1992
BEL,1992
DEU,1992
NLD,1992
USA,1992
EGY,1992
COL,1992
IDN,1992
IRN,1992
AFG,1992
PAK,1992
USA,1992
UZB,1992
IDN,1992
JPN,1992
CHN,1992
GEO,1992
USA,1992
IRN,1993
JPN,1993
GUM,1993
SDN,1993
IND,1993
PNG,1993
MEX,1993
JPN,1993
CHN,1993
WLF,1993
GRC,1993
PER,1993
CRI,1993
USA,1993
COL,1993
IRN,1993
GRC,1993
NPL,1993
IND,1993
CHN,1993
USA,1994
IDN,1994
IDN,1994
IRN,1994
IRN,1994
UGA,1994
AFG,1994
BOL,1994
COL,1994
IDN,1994
IRN,1994
VUT,1994
DZA,1994
CHN,1994
JPN,1994
RUS,1994
JPN,1994
IDN,1994
PHL,1994
USA,1994
CHN,1994
AUS,1994
IDN,1994
CHN,1994
PHL,1994
COL,1995
JPN,1995
COL,1995
CYP,1995
ECU,1995
COL,1995
PHL,1995
IDN,1995
GRC,1995
IDN,1995
RUS,1995
CHN,1995
MMR,1995
THA,1995
CHL,1995
MEX,1995
ECU,1995
TUR,1995
IDN,1995
MEX,1995
CHN,1995
EGY,1995
GRC,1995
JPN,1995
MEX,1995
CHN,1995
IDN,1996
AFG,1996
CHN,1996
PER,1996
IDN,1996
ECU,1996
CHN,1996
CHN,1996
GRC,1996
CHN,1996
HRV,1996
PER,1996
TUR,1996
CHN,1997
IRN,1997
KGZ,1997
PAK,1997
IRN,1997
TTO,1997
MEX,1997
AFG,1997
IRN,1997
IND,1997
MEX,1997
VEN,1997
ITA,1997
IDN,1997
CHL,1997
BGD,1997
CHN,1997
ARM,1997
CHN,1997
CHN,1997
IRN,1997
ZAF,1997
AFG,1998
IRN,1998
CHN,1998
ITA,1998
IRN,1998
AUT,1998
SVN,1998
AFG,1998
BOL,1998
TUR,1998
AZO,1998
TUR,1998
AZE,1998
PNG,1998
ECU,1998
CHN,1998
IRN,1998
IDN,1998
CHN,1998
AFG,1998
PAK,1998
CHN,1998
CHN,1998
CHN,1998
IDN,1998
ALB,1998
IRN,1998
NIC,1998
CHN,1998
TUR,1998
COL,1999
RUS,1999
AFG,1999
IRN,1999
IND,1999
IRN,1999
AZE,1999
MEX,1999
BGD,1999
TUR,1999
GRC,1999
TUR,1999
TWN,1999
MEX,1999
TUR,1999
CHN,1999
PER,1999
MEX,1999
TUR,1999
TWN,1999
PER,1999
TUR,1999
TUR,1999
CHN,1999
VUT,1999
CHN,1999
DZA,1999
IDN,1999
IRN,1999
RUS,1999
ESP,1999
GTM,1999
PHL,1999
BGD,2000
CHN,2000
CHN,2000
CHN,2000
IRN,2000
IRN,2000
ISL,2000
COL,2000
MEX,2000
IDN,2000
TUR,2000
TUR,2000
IDN,2000
CHN,2000
GRC,2000
ISL,2000
NIC,2000
JPN,2000
IDN,2000
RUS,2000
CHN,2000
USA,2000
TZA,2000
JPN,2000
TJK,2000
PNG,2000
IDN,2000
IDN,2000
AZE,2000
TKM,2000
TZA,2001
SLV,2001
GTM,2001
IND,2001
PAK,2001
SLV,2001
CHN,2001
AFG,2001
USA,2001
JPN,2001
CHN,2001
CHN,2001
AFG,2001
PER,2001
PNG,2001
TUR,2001
CHN,2001
IDN,2001
CHN,2001
IDN,2001
TUR,2001
GRC,2001
IRN,2001
PER,2001
PER,2001
VUT,2002
TJK,2002
RWA,2002
TUR,2002
PNG,2002
IRN,2002
AFG,2002
PAK,2002
TJK,2002
PHL,2002
TWN,2002
AFG,2002
AFG,2002
SCG,2002
IRN,2002
GEO,2002
ARG,2002
IRN,2002
IDN,2002
EGY,2002
PNG,2002
IND,2002
IDN,2002
TZA,2002
CHN,2002
ITA,2002
ITA,2002
PAK,2002
PAK,2002
GRC,2002
VUT,2002
IRN,2002
IDN,2002
IRN,2002
IDN,2002
CHN,2002
ITA,2002
MEX,2003
TUR,2003
IRN,2003
IDN,2003
CHN,2003
CHN,2003
ITA,2003
TUR,2003
CHN,2003
AFG,2003
DZA,2003
JPN,2003
IDN,2003
DZA,2003
KAZ,2003
IRN,2003
CHN,2003
JPN,2003
GRC,2003
CHN,2003
PAN,2003
IDN,2003
IRN,2003
BGD,2003
JPN,2003
DOM,2003
RUS,2003
CHN,2003
CHN,2003
CHN,2003
CHN,2003
CHN,2003
CHN,2003
USA,2003
CRI,2003
PAN,2003
IRN,2003
TUR,2003
IRN,2003
TUR,2003
IDN,2004
DZA,2004
IDN,2004
PAK,2004
MAR,2004
IDN,2004
CHN,2004
TUR,2004
TUR,2004
TJK,2004
IRN,2004
RUS,2004
TUR,2004
CHN,2004
COL,2004
