DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development,Depth
1990-0009-PHL,Ground movement,,PHL,6.6,1990/2/8,1.0,4.0,,34500.0,34504.0,0.0,
1990-0017-IDN,Ground movement,,IDN,7.8,1990/4/18,5.0,36.0,,7000.0,7036.0,0.0,
1990-0020-BGR,Ground movement,,BGR,7.0,1990/5/30,1.0,,,,,0.0,
1990-0020-ROU,Ground movement,,ROU,7.0,1990/5/30,9.0,700.0,,,700.0,0.0,
1990-0020-SUN,Ground movement,,SUN,7.0,1990/5/30,4.0,,,,,,
1990-0028-PHL,Ground movement,,PHL,7.1,1990/6/14,4.0,15.0,,,15.0,0.0,
1990-0029-PER,Ground movement,,PER,6.6,1990/5/29,200.0,800.0,30000.0,70000.0,100800.0,0.0,
1990-0031-SUN,Ground movement,,SUN,6.8,1990/6/14,1.0,,20000.0,,20000.0,,
1990-0033-SDN,Ground movement,,SDN,6.8,1990/5/20,,,,8000.0,8000.0,0.0,
1990-0033-UGA,Ground movement,,UGA,,1990/5/20,,,,,,0.0,
1990-0034-IRN,Ground movement,,IRN,7.3,1990/6/21,40000.0,105000.0,105000.0,500000.0,710000.0,0.0,
1990-0040-PHL,Ground movement,,PHL,7.7,1990/7/16,2412.0,3513.0,,1594040.0,1597553.0,0.0,
1990-0093-CHN,Ground movement,,CHN,6.2,1990/10/20,1.0,16.0,,30000.0,30016.0,0.0,
1990-0099-CHN,Ground movement,,CHN,6.9,1990/4/26,126.0,2049.0,7696.0,24574.0,34319.0,0.0,
1990-0105-ITA,Ground movement,,ITA,5.4,1990/5/6,2.0,16.0,,,16.0,0.0,
1990-0118-IRN,Ground movement,,IRN,6.6,1990/11/6,21.0,90.0,1310.0,21000.0,22400.0,0.0,
1990-0165-PAK,Ground movement,,PAK,6.6,1990/10/22,11.0,250.0,,,250.0,0.0,
1990-0169-GRC,Ground movement,,GRC,5.5,1990/12/21,1.0,60.0,,,60.0,0.0,
1990-0170-CRI,Ground movement,,CRI,5.8,1990/12/22,1.0,299.0,14000.0,,14299.0,0.0,
1990-0186-VUT,Ground movement,,VUT,6.7,1990/2/19,,,,,,0.0,
1990-0187-USA,Ground movement,,USA,5.5,1990/2/28,,30.0,,,30.0,1.0,
1990-0188-FJI,Ground movement,,FJI,7.4,1990/3/3,,,,,,0.0,
1990-0189-PAK,Ground movement,,PAK,6.1,1990/3/4,11.0,40.0,,,40.0,0.0,
